Location,PopTotal,PopDensity
Oceania (excluding Australia and New Zealand),12578.331,23.257
Oman,5216.258,16.854
Pakistan,225489.999,292.51
Palau,18.166,39.491
Panama,4382.692,58.955
Papua New Guinea,9124.335,20.148
Paraguay,7223.093,18.18
Peru,33283.807,26.003
Philippines,111098.565,372.601
Poland,37778.961,123.368
Polynesia,688.72,85.132
Portugal,10162.78,110.959
Puerto Rico,2872.383,323.831
Qatar,2931.76,252.52
Republic of Korea,51291.895,527.532
Republic of Moldova,4022.407,122.448
Romania,19134.312,83.131
Russian Federation,145836.699,8.905
Rwanda,13292.331,538.805
Réunion,901.734,360.694
Saint Barthélemy,9.913,450.591
Saint Helena,6.086,15.605
Saint Kitts and Nevis,53.549,205.958
Saint Lucia,184.423,302.333
Saint Martin (French part),39.183,739.302
Saint Pierre and Miquelon,5.774,25.104
Saint Vincent and the Grenadines,111.265,285.295
Samoa,200.755,70.938
San Marino,33.999,566.65
Sao Tome and Principe,223.409,232.718
Saudi Arabia,35350.132,16.444
Senegal,17212.022,89.399
Serbia,8690.66,99.367
Seychelles,98.947,215.102
Sierra Leone,8151.915,112.939
Singapore,5896.167,8423.096
Sint Maarten (Dutch part),43.459,1278.206
Slovakia,5457.427,113.488
Slovenia,2077.72,103.164
Small Island Developing States (SIDS),72786.565,60.849
Solomon Islands,704.788,25.18
Somalia,16378.529,26.108
South Africa,60046.813,49.499
South America,434347.52,24.875
South Sudan,11448.648,18.739
South-Eastern Asia,675267.002,155.566
Southern Africa,68365.465,25.792
Southern Asia,1963036.004,306.718
Southern Europe,151894.187,117.3
Spain,46711.668,93.648
Sri Lanka,21499.967,342.848
State of Palestine,5231.006,868.938
Sub-Saharan Africa,1123797.653,51.364
Sudan,44955.517,25.47
Suriname,592.001,3.795
Sweden,10156.122,24.751
Switzerland,8709.391,220.402
Syrian Arab Republic,18797.216,102.365
Tajikistan,9763.442,69.759
Thailand,69946.896,136.912
Timor-Leste,1346.184,90.53
Togo,8484.009,155.985
Tokelau,1.365,136.5
Tonga,106.709,148.207
Trinidad and Tobago,1403.54,273.595
Tunisia,11938.66,76.845
Turkey,84809.378,110.195
Turkmenistan,6124.09,13.032
Turks and Caicos Islands,39.232,41.297
Tuvalu,11.929,397.633
Uganda,47081.939,235.634
Ukraine,43452.325,75.006
United Arab Emirates,9979.571,119.373
United Kingdom,68158.734,281.729
United Republic of Tanzania,61538.051,69.472
United States Virgin Islands,104.196,297.703
United States of America,332839.249,36.386
Upper-middle-income countries,2668982.729,48.056
Uruguay,3484.785,19.911
Uzbekistan,33959.61,79.83
Vanuatu,314.615,25.809
Venezuela (Bolivarian Republic of),29147.059,33.045
Viet Nam,98144.314,316.523
Wallis and Futuna Islands,11.122,79.443
Western Africa,412768.062,68.068
Western Asia,284312.028,59.169
Western Europe,196371.093,181.022
Western Sahara,611.867,2.3
World,7876434.843,60.544
Yemen,30547.963,57.859
Zambia,18932.837,25.468
Zimbabwe,15104.754,39.046
